"","","2.5 %","97.5 %"
"(Intercept)",0.0600825866943384,0.0315419186120434,0.110621357062345
"race.factorAmerican Indian or Alaska Native",2.00903209859007,0.319477875262636,6.91485869516544
"race.factorAsian",3.46583634662152,2.04022874328451,5.61894917755604
"race.factorBlack or African American",0.431847849537256,0.262052029116347,0.677996645422207
"race.factorNative Hawaiian or Other Pacific Islander",7.43077854893602,2.06640888253648,21.3067658451874
"sexMale",1.27965971734439,0.930389567258333,1.76778320673073
"age.years",0.989607255228862,0.980947506956793,0.998517325995798
