"","","2.5 %","97.5 %"
"(Intercept)",0.417394842586981,0.36539962543213,0.476476750268085
"race.factorAmerican Indian or Alaska Native",0.760028669220141,0.492426045278981,1.14817974264479
"race.factorAsian",1.38269536498631,1.15879481642544,1.64894078263861
"race.factorBlack or African American",0.858265162444842,0.784205778143628,0.938833730200347
"race.factorNative Hawaiian or Other Pacific Islander",1.48720816368609,0.902762950002948,2.43794713620221
"sexMale",1.20649908736812,1.131425540346,1.28660296643633
"age.years",1.00536892833237,1.00350016401319,1.00724668680448
