"","","2.5 %","97.5 %"
"(Intercept)",0.595895590305503,0.520878664442,0.681395625765742
"race.factorAmerican Indian or Alaska Native",0.829216986210872,0.549461254477374,1.23142354599039
"race.factorAsian",0.816052440752127,0.621163716329449,1.06432078423002
"race.factorBlack or African American",0.863231414327864,0.771196806862763,0.965431624037789
"race.factorNative Hawaiian or Other Pacific Islander",1.54064387599579,0.952194911603529,2.49272645539466
"sexMale",1.26995071162749,1.17474713955529,1.37293596416791
"age.years",0.999087904068821,0.996980519686758,1.00120044661045
