"","","2.5 %","97.5 %"
"(Intercept)",0.0759251626720723,0.0666149174806223,0.0863980797782958
"race.factorAmerican Indian or Alaska Native",1.25009752223975,0.869093568107823,1.75321029062165
"race.factorAsian",1.08485287559703,0.87093629869133,1.33887759046794
"race.factorBlack or African American",0.950615935271664,0.863347654337837,1.0452463883728
"race.factorNative Hawaiian or Other Pacific Islander",0.952160140116862,0.51826415491971,1.61872245471698
"sexMale",1.13874948535025,1.06575217783728,1.21676753243749
"age.years",1.0145868948788,1.01272543581003,1.01646463240267
