"","Wave","Population","Estimate","2.5%","97.5%"
"1","Dec2020","Black or African American",0.8754,0.7994,0.9583
"2","Delta","Black or African American",0.9058,0.8082,1.0145
"3","Omicron","Black or African American",0.9273,0.8417,1.0201
