"","race","age_median","iqr_age","age_q25","age_q75"
"1","Black or African American",58.7045681126332,25.4147184170472,44.4547945205479,69.8695129375951
"2","White",65.4368207762557,25.3789916286149,51.5393055555556,76.9182971841705
